Município 1,Município 2,Distancia (km),Distancia Euclidiana,População 1,População 2,Pos_X 1,Pos_Y 1,Pos_X 2,Pos_Y 2
Águeda,Oliveira do Bairro,11,15,46131,23143,-8.395640306961628,40.5860121420101,-8.551520205178,40.5158526684386
Oliveira do Bairro,Águeda,11,15,23143,46131,-8.551520205178,40.5158526684386,-8.395640306961628,40.5860121420101
Águeda,Vouzela,33,24,46131,9580,-8.395640306961628,40.5860121420101,-8.13924400221727,40.67496803220799
Vouzela,Águeda,33,24,9580,46131,-8.13924400221727,40.67496803220799,-8.395640306961628,40.5860121420101
Águeda,Tondela,69,24,46131,25914,-8.395640306961628,40.5860121420101,-8.122708074888683,40.54335861517361
Tondela,Águeda,69,24,25914,46131,-8.122708074888683,40.54335861517361,-8.395640306961628,40.5860121420101
Águeda,Mortágua,46,22,46131,8965,-8.395640306961628,40.5860121420101,-8.253150341652171,40.41951981725462
Mortágua,Águeda,46,22,8965,46131,-8.253150341652171,40.41951981725462,-8.395640306961628,40.5860121420101
Anadia,Mealhada,11,11,27535,19355,-8.442783041571582,40.45261823213148,-8.441033350287872,40.353768962034955
Mealhada,Anadia,11,11,19355,27535,-8.441033350287872,40.353768962034955,-8.442783041571582,40.45261823213148
Anadia,Oliveira do Bairro,14,12,27535,23143,-8.442783041571582,40.45261823213148,-8.551520205178,40.5158526684386
Oliveira do Bairro,Anadia,14,12,23143,27535,-8.551520205178,40.5158526684386,-8.442783041571582,40.45261823213148
Anadia,Cantanhede,26,20,27535,34217,-8.442783041571582,40.45261823213148,-8.637342330324858,40.354959222852436
Cantanhede,Anadia,26,20,34217,27535,-8.637342330324858,40.354959222852436,-8.442783041571582,40.45261823213148
Anadia,Mortágua,30,16,27535,8965,-8.442783041571582,40.45261823213148,-8.253150341652171,40.41951981725462
Mortágua,Anadia,30,16,8965,27535,-8.253150341652171,40.41951981725462,-8.442783041571582,40.45261823213148
Mealhada,Mortágua,26,18,19355,8965,-8.441033350287872,40.353768962034955,-8.253150341652171,40.41951981725462
Mortágua,Mealhada,26,18,8965,19355,-8.253150341652171,40.41951981725462,-8.441033350287872,40.353768962034955
Mealhada,Cantanhede,18,17,19355,34217,-8.441033350287872,40.353768962034955,-8.637342330324858,40.354959222852436
Cantanhede,Mealhada,18,17,34217,19355,-8.637342330324858,40.354959222852436,-8.441033350287872,40.353768962034955
Mealhada,Coimbra,17,15,19355,140838,-8.441033350287872,40.353768962034955,-8.446178407225515,40.216154706250954
Coimbra,Mealhada,17,15,140838,19355,-8.446178407225515,40.216154706250954,-8.441033350287872,40.353768962034955
Mealhada,Penacova,31,16,19355,13113,-8.441033350287872,40.353768962034955,-8.267565809899635,40.29756422907029
Penacova,Mealhada,31,16,13113,19355,-8.267565809899635,40.29756422907029,-8.441033350287872,40.353768962034955
Oliveira do Bairro,Vagos,20,12,23143,22889,-8.551520205178,40.5158526684386,-8.689552618348111,40.51546153665572
Vagos,Oliveira do Bairro,20,12,22889,23143,-8.689552618348111,40.51546153665572,-8.551520205178,40.5158526684386
Oliveira do Bairro,Cantanhede,38,19,23143,34217,-8.551520205178,40.5158526684386,-8.637342330324858,40.354959222852436
Cantanhede,Oliveira do Bairro,38,19,34217,23143,-8.637342330324858,40.354959222852436,-8.551520205178,40.5158526684386
Vagos,Ílhavo,12,10,22889,39239,-8.689552618348111,40.51546153665572,-8.69987100198443,40.606171208215564
Ílhavo,Vagos,12,10,39239,22889,-8.69987100198443,40.606171208215564,-8.689552618348111,40.51546153665572
Vagos,Cantanhede,24,18,22889,34217,-8.689552618348111,40.51546153665572,-8.637342330324858,40.354959222852436
Cantanhede,Vagos,24,18,34217,22889,-8.637342330324858,40.354959222852436,-8.689552618348111,40.51546153665572
Vagos,Mira,10,11,22889,12114,-8.689552618348111,40.51546153665572,-8.754722491225529,40.433071477778235
Mira,Vagos,10,11,12114,22889,-8.754722491225529,40.433071477778235,-8.689552618348111,40.51546153665572
Armamar,Lamego,17,12,5678,24315,-7.677568356385944,41.09490557573109,-7.822502685730873,41.08071726316735
Lamego,Armamar,17,12,24315,5678,-7.822502685730873,41.08071726316735,-7.677568356385944,41.09490557573109
Armamar,Tabuaço,23,9,5678,5034,-7.677568356385944,41.09490557573109,-7.565558432687067,41.09427442571333
Tabuaço,Armamar,23,9,5034,5678,-7.565558432687067,41.09427442571333,-7.677568356385944,41.09490557573109
Armamar,Moimenta da Beira,47,15,5678,9410,-7.677568356385944,41.09490557573109,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Armamar,47,15,9410,5678,-7.6385743836332844,40.96426830584427,-7.677568356385944,41.09490557573109
Armamar,Tarouca,27,11,5678,7364,-7.677568356385944,41.09490557573109,-7.762093843974664,41.013932617753824
Tarouca,Armamar,27,11,7364,5678,-7.762093843974664,41.013932617753824,-7.677568356385944,41.09490557573109
Lamego,Resende,33,10,24315,10051,-7.822502685730873,41.08071726316735,-7.93977191806962,41.076216150780915
Resende,Lamego,33,10,10051,24315,-7.93977191806962,41.076216150780915,-7.822502685730873,41.08071726316735
Lamego,Castro Daire,28,21,24315,13736,-7.822502685730873,41.08071726316735,-7.932917028817182,40.91289148475827
Castro Daire,Lamego,28,21,13736,24315,-7.932917028817182,40.91289148475827,-7.822502685730873,41.08071726316735
Lamego,Tarouca,12,9,24315,7364,-7.822502685730873,41.08071726316735,-7.762093843974664,41.013932617753824
Tarouca,Lamego,12,9,7364,24315,-7.762093843974664,41.013932617753824,-7.822502685730873,41.08071726316735
Resende,Castro Daire,60,18,10051,13736,-7.93977191806962,41.076216150780915,-7.932917028817182,40.91289148475827
Castro Daire,Resende,60,18,13736,10051,-7.932917028817182,40.91289148475827,-7.93977191806962,41.076216150780915
São João da Pesqueira,Tabuaço,29,11,6775,5034,-7.438001486591825,41.11852389822057,-7.565558432687067,41.09427442571333
Tabuaço,São João da Pesqueira,29,11,5034,6775,-7.565558432687067,41.09427442571333,-7.438001486591825,41.11852389822057
São João da Pesqueira,Sernancelhe,76,24,6775,5692,-7.438001486591825,41.11852389822057,-7.507092448918639,40.91002065811427
Sernancelhe,São João da Pesqueira,76,24,5692,6775,-7.507092448918639,40.91002065811427,-7.438001486591825,41.11852389822057
Tabuaço,Moimenta da Beira,70,16,5034,9410,-7.565558432687067,41.09427442571333,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Tabuaço,70,16,9410,5034,-7.6385743836332844,40.96426830584427,-7.565558432687067,41.09427442571333
Tabuaço,Sernancelhe,92,21,5034,5692,-7.565558432687067,41.09427442571333,-7.507092448918639,40.91002065811427
Sernancelhe,Tabuaço,92,21,5692,5034,-7.507092448918639,40.91002065811427,-7.565558432687067,41.09427442571333
Castro Daire,Moimenta da Beira,52,25,13736,9410,-7.932917028817182,40.91289148475827,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Castro Daire,52,25,9410,13736,-7.6385743836332844,40.96426830584427,-7.932917028817182,40.91289148475827
Castro Daire,Tarouca,34,18,13736,7364,-7.932917028817182,40.91289148475827,-7.762093843974664,41.013932617753824
Tarouca,Castro Daire,34,18,7364,13736,-7.762093843974664,41.013932617753824,-7.932917028817182,40.91289148475827
Castro Daire,Vila Nova de Paiva,25,15,13736,4662,-7.932917028817182,40.91289148475827,-7.76336707718236,40.872327178704396
Vila Nova de Paiva,Castro Daire,25,15,4662,13736,-7.76336707718236,40.872327178704396,-7.932917028817182,40.91289148475827
Castro Daire,São Pedro do Sul,29,17,13736,15137,-7.932917028817182,40.91289148475827,-8.094636712714705,40.81639462231096
São Pedro do Sul,Castro Daire,29,17,15137,13736,-8.094636712714705,40.81639462231096,-7.932917028817182,40.91289148475827
Castro Daire,Viseu,34,25,13736,99561,-7.932917028817182,40.91289148475827,-7.905587957212263,40.68803493610788
Viseu,Castro Daire,34,25,99561,13736,-7.905587957212263,40.68803493610788,-7.932917028817182,40.91289148475827
Moimenta da Beira,Tarouca,20,12,9410,7364,-7.6385743836332844,40.96426830584427,-7.762093843974664,41.013932617753824
Tarouca,Moimenta da Beira,20,12,7364,9410,-7.762093843974664,41.013932617753824,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Vila Nova de Paiva,27,15,9410,4662,-7.6385743836332844,40.96426830584427,-7.76336707718236,40.872327178704396
Vila Nova de Paiva,Moimenta da Beira,27,15,4662,9410,-7.76336707718236,40.872327178704396,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Sernancelhe,22,13,9410,5692,-7.6385743836332844,40.96426830584427,-7.507092448918639,40.91002065811427
Sernancelhe,Moimenta da Beira,22,13,5692,9410,-7.507092448918639,40.91002065811427,-7.6385743836332844,40.96426830584427
Moimenta da Beira,Sátão,39,22,9410,11030,-7.6385743836332844,40.96426830584427,-7.673970860898996,40.77029828517434
Sátão,Moimenta da Beira,39,22,11030,9410,-7.673970860898996,40.77029828517434,-7.6385743836332844,40.96426830584427
Vila Nova de Paiva,Sátão,14,14,4662,11030,-7.76336707718236,40.872327178704396,-7.673970860898996,40.77029828517434
Sátão,Vila Nova de Paiva,14,14,11030,4662,-7.673970860898996,40.77029828517434,-7.76336707718236,40.872327178704396
Vila Nova de Paiva,Viseu,33,24,4662,99561,-7.76336707718236,40.872327178704396,-7.905587957212263,40.68803493610788
Viseu,Vila Nova de Paiva,33,24,99561,4662,-7.905587957212263,40.68803493610788,-7.76336707718236,40.872327178704396
Penalva do Castelo,Sátão,13,11,7333,11030,-7.655881010390912,40.67130626021635,-7.673970860898996,40.77029828517434
Sátão,Penalva do Castelo,13,11,11030,7333,-7.673970860898996,40.77029828517434,-7.655881010390912,40.67130626021635
Penalva do Castelo,Viseu,28,21,7333,99561,-7.655881010390912,40.67130626021635,-7.905587957212263,40.68803493610788
Viseu,Penalva do Castelo,28,21,99561,7333,-7.905587957212263,40.68803493610788,-7.655881010390912,40.67130626021635
Penalva do Castelo,Mangualde,15,10,7333,18303,-7.655881010390912,40.67130626021635,-7.720093984697758,40.594875705090615
Mangualde,Penalva do Castelo,15,10,18303,7333,-7.720093984697758,40.594875705090615,-7.655881010390912,40.67130626021635
Penalva do Castelo,Aguiar da Beira,56,16,7333,5231,-7.655881010390912,40.67130626021635,-7.528388943206836,40.781166137618015
Aguiar da Beira,Penalva do Castelo,56,16,5231,7333,-7.528388943206836,40.781166137618015,-7.655881010390912,40.67130626021635
Penalva do Castelo,Fornos de Algodres,36,13,7333,4403,-7.655881010390912,40.67130626021635,-7.500096399175555,40.65104383591285
Fornos de Algodres,Penalva do Castelo,36,13,4403,7333,-7.500096399175555,40.65104383591285,-7.655881010390912,40.67130626021635
Sernancelhe,Sátão,33,21,5692,11030,-7.507092448918639,40.91002065811427,-7.673970860898996,40.77029828517434
Sátão,Sernancelhe,33,21,11030,5692,-7.673970860898996,40.77029828517434,-7.507092448918639,40.91002065811427
Sernancelhe,Aguiar da Beira,87,14,5692,5231,-7.507092448918639,40.91002065811427,-7.528388943206836,40.781166137618015
Aguiar da Beira,Sernancelhe,87,14,5231,5692,-7.528388943206836,40.781166137618015,-7.507092448918639,40.91002065811427
Sernancelhe,Mêda,32,22,5692,4633,-7.507092448918639,40.91002065811427,-7.252815739109314,40.93664772494412
Mêda,Sernancelhe,32,22,4633,5692,-7.252815739109314,40.93664772494412,-7.507092448918639,40.91002065811427
Sátão,Viseu,19,22,11030,99561,-7.673970860898996,40.77029828517434,-7.905587957212263,40.68803493610788
Viseu,Sátão,19,22,99561,11030,-7.905587957212263,40.68803493610788,-7.673970860898996,40.77029828517434
Sátão,Aguiar da Beira,69,12,11030,5231,-7.673970860898996,40.77029828517434,-7.528388943206836,40.781166137618015
Aguiar da Beira,Sátão,69,12,5231,11030,-7.528388943206836,40.781166137618015,-7.673970860898996,40.77029828517434
São Pedro do Sul,Viseu,19,21,15137,99561,-8.094636712714705,40.81639462231096,-7.905587957212263,40.68803493610788
Viseu,São Pedro do Sul,19,21,99561,15137,-7.905587957212263,40.68803493610788,-8.094636712714705,40.81639462231096
São Pedro do Sul,Vouzela,27,16,15137,9580,-8.094636712714705,40.81639462231096,-8.13924400221727,40.67496803220799
Vouzela,São Pedro do Sul,27,16,9580,15137,-8.13924400221727,40.67496803220799,-8.094636712714705,40.81639462231096
Viseu,Vouzela,39,20,99561,9580,-7.905587957212263,40.68803493610788,-8.13924400221727,40.67496803220799
Vouzela,Viseu,39,20,9580,99561,-8.13924400221727,40.67496803220799,-7.905587957212263,40.68803493610788
Viseu,Carregal do Sal,59,27,99561,9038,-7.905587957212263,40.68803493610788,-7.987987414135568,40.44981789290012
Carregal do Sal,Viseu,59,27,9038,99561,-7.987987414135568,40.44981789290012,-7.905587957212263,40.68803493610788
Viseu,Mangualde,22,19,99561,18303,-7.905587957212263,40.68803493610788,-7.720093984697758,40.594875705090615
Mangualde,Viseu,22,19,18303,99561,-7.720093984697758,40.594875705090615,-7.905587957212263,40.68803493610788
Viseu,Nelas,27,18,99561,13121,-7.905587957212263,40.68803493610788,-7.865173697831371,40.526878599426226
Nelas,Viseu,27,18,13121,99561,-7.865173697831371,40.526878599426226,-7.905587957212263,40.68803493610788
Viseu,Tondela,74,24,99561,25914,-7.905587957212263,40.68803493610788,-8.122708074888683,40.54335861517361
Tondela,Viseu,74,24,25914,99561,-8.122708074888683,40.54335861517361,-7.905587957212263,40.68803493610788
Vouzela,Tondela,87,15,9580,25914,-8.13924400221727,40.67496803220799,-8.122708074888683,40.54335861517361
Tondela,Vouzela,87,15,25914,9580,-8.122708074888683,40.54335861517361,-8.13924400221727,40.67496803220799
Carregal do Sal,Nelas,13,13,9038,13121,-7.987987414135568,40.44981789290012,-7.865173697831371,40.526878599426226
Nelas,Carregal do Sal,13,13,13121,9038,-7.865173697831371,40.526878599426226,-7.987987414135568,40.44981789290012
Carregal do Sal,Santa Comba Dão,32,12,9038,10641,-7.987987414135568,40.44981789290012,-8.11563849462596,40.40059297729181
Santa Comba Dão,Carregal do Sal,32,12,10641,9038,-8.11563849462596,40.40059297729181,-7.987987414135568,40.44981789290012
Carregal do Sal,Tondela,63,15,9038,25914,-7.987987414135568,40.44981789290012,-8.122708074888683,40.54335861517361
Tondela,Carregal do Sal,63,15,25914,9038,-8.122708074888683,40.54335861517361,-7.987987414135568,40.44981789290012
Carregal do Sal,Oliveira do Hospital,51,14,9038,19416,-7.987987414135568,40.44981789290012,-7.863722055120749,40.36846396914453
Oliveira do Hospital,Carregal do Sal,51,14,19416,9038,-7.863722055120749,40.36846396914453,-7.987987414135568,40.44981789290012
Carregal do Sal,Tábua,68,13,9038,11161,-7.987987414135568,40.44981789290012,-8.015191029372733,40.33416446445136
Tábua,Carregal do Sal,68,13,11161,9038,-8.015191029372733,40.33416446445136,-7.987987414135568,40.44981789290012
Mangualde,Nelas,19,14,18303,13121,-7.720093984697758,40.594875705090615,-7.865173697831371,40.526878599426226
Nelas,Mangualde,19,14,13121,18303,-7.865173697831371,40.526878599426226,-7.720093984697758,40.594875705090615
Mangualde,Fornos de Algodres,24,20,18303,4403,-7.720093984697758,40.594875705090615,-7.500096399175555,40.65104383591285
Fornos de Algodres,Mangualde,24,20,4403,18303,-7.500096399175555,40.65104383591285,-7.720093984697758,40.594875705090615
Mangualde,Gouveia,28,16,18303,12223,-7.720093984697758,40.594875705090615,-7.580322766319451,40.50137511635114
Gouveia,Mangualde,28,16,12223,18303,-7.580322766319451,40.50137511635114,-7.720093984697758,40.594875705090615
Mangualde,Seia,42,24,18303,21760,-7.720093984697758,40.594875705090615,-7.719163334358609,40.3777657618551
Seia,Mangualde,42,24,21760,18303,-7.719163334358609,40.3777657618551,-7.720093984697758,40.594875705090615
Mortágua,Santa Comba Dão,12,12,8965,10641,-8.253150341652171,40.41951981725462,-8.11563849462596,40.40059297729181
Santa Comba Dão,Mortágua,12,12,10641,8965,-8.11563849462596,40.40059297729181,-8.253150341652171,40.41951981725462
Mortágua,Tondela,24,18,8965,25914,-8.253150341652171,40.41951981725462,-8.122708074888683,40.54335861517361
Tondela,Mortágua,24,18,25914,8965,-8.122708074888683,40.54335861517361,-8.253150341652171,40.41951981725462
Mortágua,Penacova,19,14,8965,13113,-8.253150341652171,40.41951981725462,-8.267565809899635,40.29756422907029
Penacova,Mortágua,19,14,13113,8965,-8.267565809899635,40.29756422907029,-8.253150341652171,40.41951981725462
Nelas,Seia,27,21,13121,21760,-7.865173697831371,40.526878599426226,-7.719163334358609,40.3777657618551
Seia,Nelas,27,21,21760,13121,-7.719163334358609,40.3777657618551,-7.865173697831371,40.526878599426226
Nelas,Oliveira do Hospital,38,18,13121,19416,-7.865173697831371,40.526878599426226,-7.863722055120749,40.36846396914453
Oliveira do Hospital,Nelas,38,18,19416,13121,-7.863722055120749,40.36846396914453,-7.865173697831371,40.526878599426226
Santa Comba Dão,Tondela,32,16,10641,25914,-8.11563849462596,40.40059297729181,-8.122708074888683,40.54335861517361
Tondela,Santa Comba Dão,32,16,25914,10641,-8.122708074888683,40.54335861517361,-8.11563849462596,40.40059297729181
Santa Comba Dão,Penacova,57,17,10641,13113,-8.11563849462596,40.40059297729181,-8.267565809899635,40.29756422907029
Penacova,Santa Comba Dão,57,17,13113,10641,-8.267565809899635,40.29756422907029,-8.11563849462596,40.40059297729181
Santa Comba Dão,Tábua,43,11,10641,11161,-8.11563849462596,40.40059297729181,-8.015191029372733,40.33416446445136
Tábua,Santa Comba Dão,43,11,11161,10641,-8.015191029372733,40.33416446445136,-8.11563849462596,40.40059297729181
Aguiar da Beira,Fornos de Algodres,20,15,5231,4403,-7.528388943206836,40.781166137618015,-7.500096399175555,40.65104383591285
Fornos de Algodres,Aguiar da Beira,20,15,4403,5231,-7.500096399175555,40.65104383591285,-7.528388943206836,40.781166137618015
Celorico da Beira,Fornos de Algodres,18,10,6584,4403,-7.384944300028275,40.62230503447137,-7.500096399175555,40.65104383591285
Fornos de Algodres,Celorico da Beira,18,10,4403,6584,-7.500096399175555,40.65104383591285,-7.384944300028275,40.62230503447137
Celorico da Beira,Gouveia,30,21,6584,12223,-7.384944300028275,40.62230503447137,-7.580322766319451,40.50137511635114
Gouveia,Celorico da Beira,30,21,12223,6584,-7.580322766319451,40.50137511635114,-7.384944300028275,40.62230503447137
Celorico da Beira,Pinhel,33,27,6584,8092,-7.384944300028275,40.62230503447137,-7.110138308597869,40.74193412974325
Pinhel,Celorico da Beira,33,27,8092,6584,-7.110138308597869,40.74193412974325,-7.384944300028275,40.62230503447137
Fornos de Algodres,Gouveia,25,18,4403,12223,-7.500096399175555,40.65104383591285,-7.580322766319451,40.50137511635114
Gouveia,Fornos de Algodres,25,18,12223,4403,-7.580322766319451,40.50137511635114,-7.500096399175555,40.65104383591285
Mêda,Pinhel,56,25,4633,8092,-7.252815739109314,40.93664772494412,-7.110138308597869,40.74193412974325
Pinhel,Mêda,56,25,8092,4633,-7.110138308597869,40.74193412974325,-7.252815739109314,40.93664772494412
Gouveia,Manteigas,39,13,12223,2909,-7.580322766319451,40.50137511635114,-7.520058748516354,40.39114451633846
Manteigas,Gouveia,39,13,2909,12223,-7.520058748516354,40.39114451633846,-7.580322766319451,40.50137511635114
Gouveia,Seia,21,18,12223,21760,-7.580322766319451,40.50137511635114,-7.719163334358609,40.3777657618551
Seia,Gouveia,21,18,21760,12223,-7.719163334358609,40.3777657618551,-7.580322766319451,40.50137511635114
Manteigas,Seia,60,17,2909,21760,-7.520058748516354,40.39114451633846,-7.719163334358609,40.3777657618551
Seia,Manteigas,60,17,21760,2909,-7.719163334358609,40.3777657618551,-7.520058748516354,40.39114451633846
Manteigas,Covilhã,44,15,2909,46457,-7.520058748516354,40.39114451633846,-7.562608695921052,40.25671498955834
Covilhã,Manteigas,44,15,46457,2909,-7.562608695921052,40.25671498955834,-7.520058748516354,40.39114451633846
Seia,Covilhã,67,19,21760,46457,-7.719163334358609,40.3777657618551,-7.562608695921052,40.25671498955834
Covilhã,Seia,67,19,46457,21760,-7.562608695921052,40.25671498955834,-7.719163334358609,40.3777657618551
Seia,Arganil,55,28,21760,11065,-7.719163334358609,40.3777657618551,-7.985487168754595,40.229037321199954
Arganil,Seia,55,28,11065,21760,-7.985487168754595,40.229037321199954,-7.719163334358609,40.3777657618551
Seia,Oliveira do Hospital,20,12,21760,19416,-7.719163334358609,40.3777657618551,-7.863722055120749,40.36846396914453
Oliveira do Hospital,Seia,20,12,19416,21760,-7.863722055120749,40.36846396914453,-7.719163334358609,40.3777657618551
Cantanhede,Mira,15,13,34217,12114,-8.637342330324858,40.354959222852436,-8.754722491225529,40.433071477778235
Mira,Cantanhede,15,13,12114,34217,-8.754722491225529,40.433071477778235,-8.637342330324858,40.354959222852436
Cantanhede,Figueira da Foz,33,25,34217,58962,-8.637342330324858,40.354959222852436,-8.808752766264082,40.16889113556711
Figueira da Foz,Cantanhede,33,25,58962,34217,-8.808752766264082,40.16889113556711,-8.637342330324858,40.354959222852436
Cantanhede,Montemor-o-Velho,18,16,34217,24574,-8.637342330324858,40.354959222852436,-8.658456988507305,40.214689681515885
Montemor-o-Velho,Cantanhede,18,16,24574,34217,-8.658456988507305,40.214689681515885,-8.637342330324858,40.354959222852436
Cantanhede,Coimbra,29,22,34217,140838,-8.637342330324858,40.354959222852436,-8.446178407225515,40.216154706250954
Coimbra,Cantanhede,29,22,140838,34217,-8.446178407225515,40.216154706250954,-8.637342330324858,40.354959222852436
Figueira da Foz,Montemor-o-Velho,16,14,58962,24574,-8.808752766264082,40.16889113556711,-8.658456988507305,40.214689681515885
Montemor-o-Velho,Figueira da Foz,16,14,24574,58962,-8.658456988507305,40.214689681515885,-8.808752766264082,40.16889113556711
Figueira da Foz,Pombal,50,29,58962,51170,-8.808752766264082,40.16889113556711,-8.677701518132706,39.92659636556753
Pombal,Figueira da Foz,50,29,51170,58962,-8.677701518132706,39.92659636556753,-8.808752766264082,40.16889113556711
Montemor-o-Velho,Coimbra,26,18,24574,140838,-8.658456988507305,40.214689681515885,-8.446178407225515,40.216154706250954
Coimbra,Montemor-o-Velho,26,18,140838,24574,-8.446178407225515,40.216154706250954,-8.658456988507305,40.214689681515885
Montemor-o-Velho,Condeixa-a-Nova,35,19,24574,16735,-8.658456988507305,40.214689681515885,-8.49963145875697,40.09871435055494
Condeixa-a-Nova,Montemor-o-Velho,35,19,16735,24574,-8.49963145875697,40.09871435055494,-8.658456988507305,40.214689681515885
Coimbra,Condeixa-a-Nova,16,14,140838,16735,-8.446178407225515,40.216154706250954,-8.49963145875697,40.09871435055494
Condeixa-a-Nova,Coimbra,16,14,16735,140838,-8.49963145875697,40.09871435055494,-8.446178407225515,40.216154706250954
Coimbra,Miranda do Corvo,31,16,140838,12005,-8.446178407225515,40.216154706250954,-8.327400152973876,40.10485976064555
Miranda do Corvo,Coimbra,31,16,12005,140838,-8.327400152973876,40.10485976064555,-8.446178407225515,40.216154706250954
Coimbra,Penacova,29,18,140838,13113,-8.446178407225515,40.216154706250954,-8.267565809899635,40.29756422907029
Penacova,Coimbra,29,18,13113,140838,-8.267565809899635,40.29756422907029,-8.446178407225515,40.216154706250954
Coimbra,Vila Nova de Poiares,30,17,140838,6807,-8.446178407225515,40.216154706250954,-8.250398813833693,40.21692939453612
Vila Nova de Poiares,Coimbra,30,17,6807,140838,-8.250398813833693,40.21692939453612,-8.446178407225515,40.216154706250954
Condeixa-a-Nova,Miranda do Corvo,20,15,16735,12005,-8.49963145875697,40.09871435055494,-8.327400152973876,40.10485976064555
Miranda do Corvo,Condeixa-a-Nova,20,15,12005,16735,-8.327400152973876,40.10485976064555,-8.49963145875697,40.09871435055494
Condeixa-a-Nova,Penela,18,15,16735,5440,-8.49963145875697,40.09871435055494,-8.369848746962594,40.01012352124409
Penela,Condeixa-a-Nova,18,15,5440,16735,-8.369848746962594,40.01012352124409,-8.49963145875697,40.09871435055494
Lousã,Miranda do Corvo,9,9,17007,12005,-8.228380970882657,40.13176706965774,-8.327400152973876,40.10485976064555
Miranda do Corvo,Lousã,9,9,12005,17007,-8.327400152973876,40.10485976064555,-8.228380970882657,40.13176706965774
Lousã,Vila Nova de Poiares,13,10,17007,6807,-8.228380970882657,40.13176706965774,-8.250398813833693,40.21692939453612
Vila Nova de Poiares,Lousã,13,10,6807,17007,-8.250398813833693,40.21692939453612,-8.228380970882657,40.13176706965774
Lousã,Arganil,43,23,17007,11065,-8.228380970882657,40.13176706965774,-7.985487168754595,40.229037321199954
Arganil,Lousã,43,23,11065,17007,-7.985487168754595,40.229037321199954,-8.228380970882657,40.13176706965774
Lousã,Góis,27,12,17007,3811,-8.228380970882657,40.13176706965774,-8.089432191885209,40.102539708643384
Góis,Lousã,27,12,3811,17007,-8.089432191885209,40.102539708643384,-8.228380970882657,40.13176706965774
Lousã,Figueiró dos Vinhos,41,23,17007,5281,-8.228380970882657,40.13176706965774,-8.282069512895818,39.92521554881996
Figueiró dos Vinhos,Lousã,41,23,5281,17007,-8.282069512895818,39.92521554881996,-8.228380970882657,40.13176706965774
Lousã,Castanheira de Pera,54,13,17007,2657,-8.228380970882657,40.13176706965774,-8.195807367068257,40.01994991558458
Castanheira de Pera,Lousã,54,13,2657,17007,-8.195807367068257,40.01994991558458,-8.228380970882657,40.13176706965774
Miranda do Corvo,Penela,18,11,12005,5440,-8.327400152973876,40.10485976064555,-8.369848746962594,40.01012352124409
Penela,Miranda do Corvo,18,11,5440,12005,-8.369848746962594,40.01012352124409,-8.327400152973876,40.10485976064555
Miranda do Corvo,Vila Nova de Poiares,19,14,12005,6807,-8.327400152973876,40.10485976064555,-8.250398813833693,40.21692939453612
Vila Nova de Poiares,Miranda do Corvo,19,14,6807,12005,-8.250398813833693,40.21692939453612,-8.327400152973876,40.10485976064555
Miranda do Corvo,Figueiró dos Vinhos,32,20,12005,5281,-8.327400152973876,40.10485976064555,-8.282069512895818,39.92521554881996
Figueiró dos Vinhos,Miranda do Corvo,32,20,5281,12005,-8.282069512895818,39.92521554881996,-8.327400152973876,40.10485976064555
Penacova,Vila Nova de Poiares,21,9,13113,6807,-8.267565809899635,40.29756422907029,-8.250398813833693,40.21692939453612
Vila Nova de Poiares,Penacova,21,9,6807,13113,-8.250398813833693,40.21692939453612,-8.267565809899635,40.29756422907029
Penacova,Arganil,28,25,13113,11065,-8.267565809899635,40.29756422907029,-7.985487168754595,40.229037321199954
Arganil,Penacova,28,25,11065,13113,-7.985487168754595,40.229037321199954,-8.267565809899635,40.29756422907029
Penacova,Tábua,28,22,13113,11161,-8.267565809899635,40.29756422907029,-8.015191029372733,40.33416446445136
Tábua,Penacova,28,22,11161,13113,-8.015191029372733,40.33416446445136,-8.267565809899635,40.29756422907029
Penela,Ansião,17,10,5440,11645,-8.369848746962594,40.01012352124409,-8.438679029208814,39.93416043631234
Ansião,Penela,17,10,11645,5440,-8.438679029208814,39.93416043631234,-8.369848746962594,40.01012352124409
Penela,Figueiró dos Vinhos,19,12,5440,5281,-8.369848746962594,40.01012352124409,-8.282069512895818,39.92521554881996
Figueiró dos Vinhos,Penela,19,12,5281,5440,-8.282069512895818,39.92521554881996,-8.369848746962594,40.01012352124409
Vila Nova de Poiares,Arganil,34,23,6807,11065,-8.250398813833693,40.21692939453612,-7.985487168754595,40.229037321199954
Arganil,Vila Nova de Poiares,34,23,11065,6807,-7.985487168754595,40.229037321199954,-8.250398813833693,40.21692939453612
Belmonte,Covilhã,19,21,6205,46457,-7.329672759835621,40.330772441100336,-7.562608695921052,40.25671498955834
Covilhã,Belmonte,19,21,46457,6205,-7.562608695921052,40.25671498955834,-7.329672759835621,40.330772441100336
Covilhã,Arganil,149,36,46457,11065,-7.562608695921052,40.25671498955834,-7.985487168754595,40.229037321199954
Arganil,Covilhã,149,36,11065,46457,-7.985487168754595,40.229037321199954,-7.562608695921052,40.25671498955834
